League,Teams,Total Score
['Italy - Serie A'],[],[]
[],"['Lecce', 'Udinese']",['0 : 1']
[],"['Napoli', 'Inter']",['1 : 3']
['England - National League'],[],[]
[],"['Barrow AFC', 'Dover Athletic']",['- : -']
[],"['Solihull Moors', 'Barnet']",['- : -']
['England - FA Cup'],[],[]
[],"['Arsenal', 'Leeds']",['1 : 0']
['France - Coupe de France'],[],[]
[],"['Rouen', 'Metz']",['3 : 0']
['Cyprus - 1st Division'],[],[]
[],"['Pafos', 'Anorthosis Famagusta']",['0 : 3']
['Egypt - Premier League'],[],[]
[],"['Aswan', 'El Gouna']",['- : -']
[],"['El-Entag', 'Al Masry']",['- : -']
['International Clubs - Club Friendly Games'],[],[]
[],"['Thun', 'Grasshopper Club']",['- : -']
[],"['Heracles', 'M´gladbach']",['- : -']
[],"['Ingolstadt', 'St. Gallen 1879']",['- : -']
[],"['Dortmund', 'Liege']",['- : -']
[],"['Dusseldorf', 'Twente']",['- : -']
[],"['Schalke', 'St. Truidense']",['- : -']
[],"['Servette', 'Vitesse']",['- : -']
['Israel - Premier League'],[],[]
[],"['Bnei Yehuda', 'Sektzia Ness Ziona']",['1 : 2']
[],"['Maccabi Haifa', 'Maccabi Tel Aviv']",['3 : 4']
['Morocco - Botola'],[],[]
[],"['Berkane', 'Raja']",['1 : 0']
